<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,Source
^_USNM,D,20160615,0,949.07,953.89,949.07,953.89,92050553.0,0,^_usnm.txt
^_USNM,D,20160616,0,951.11,951.11,945.15,945.15,128887666.0,0,^_usnm.txt
^_USNM,D,20160617,0,949.04,949.04,946.87,946.87,153211925.0,0,^_usnm.txt
^_USNM,D,20160620,0,951.51,954.09,951.51,954.09,97867519.0,0,^_usnm.txt
^_USNM,D,20160621,0,952.23,952.23,950.67,950.67,88821302.0,0,^_usnm.txt
^_USNM,D,20160622,0,950.56,950.56,947.86,947.86,76426311.0,0,^_usnm.txt
^_USNM,D,20160623,0,952.17,953.72,952.17,953.72,77838319.0,0,^_usnm.txt
^_USNM,D,20160624,0,937.94,941.5,937.94,941.5,278311681.0,0,^_usnm.txt
^_USNM,D,20160627,0,936.67,936.67,924.7,924.7,115158007.0,0,^_usnm.txt
^_USNM,D,20160628,0,933.93,940.36,933.93,940.36,91070462.0,0,^_usnm.txt
^_USNM,D,20160629,0,947.5,950.26,947.5,950.26,101768494.0,0,^_usnm.txt
^_USNM,D,20160630,0,949.27,949.35,949.27,949.35,109612841.0,0,^_usnm.txt
^_USNM,D,20160701,0,955.74,962.07,955.74,962.07,107225260.0,0,^_usnm.txt
^_USNM,D,20160705,0,962.07,962.33,962.07,962.33,126757936.0,0,^_usnm.txt
^_USNM,D,20160706,0,966.88,968.85,966.88,968.85,133341194.0,0,^_usnm.txt
^_USNM,D,20160707,0,970.55,970.55,964.0,964.0,110810252.0,0,^_usnm.txt
^_USNM,D,20160708,0,968.99,980.24,968.99,980.24,121717843.0,0,^_usnm.txt
^_USNM,D,20160711,0,981.73,983.69,981.73,983.69,109663505.0,0,^_usnm.txt
^_USNM,D,20160712,0,984.51,986.81,984.51,986.81,114824739.0,0,^_usnm.txt
^_USNM,D,20160713,0,988.92,988.92,985.44,985.44,91444280.0,0,^_usnm.txt
^_USNM,D,20160714,0,985.3,985.3,984.69,984.69,101160102.0,0,^_usnm.txt
^_USNM,D,20160715,0,985.35,986.26,985.35,986.26,84125267.0,0,^_usnm.txt
^_USNM,D,20160718,0,988.61,988.61,986.85,986.85,85323974.0,0,^_usnm.txt
^_USNM,D,20160719,0,987.17,987.17,982.37,982.37,76766397.0,0,^_usnm.txt
^_USNM,D,20160720,0,981.15,981.15,980.64,980.64,84484269.0,0,^_usnm.txt
^_USNM,D,20160721,0,982.07,982.07,981.05,981.05,78511536.0,0,^_usnm.txt
^_USNM,D,20160722,0,982.5,988.72,982.5,988.72,89599033.0,0,^_usnm.txt
^_USNM,D,20160725,0,988.2,988.2,977.15,977.15,88313070.0,0,^_usnm.txt
^_USNM,D,20160726,0,976.91,979.13,976.91,979.13,89415904.0,0,^_usnm.txt
^_USNM,D,20160727,0,981.95,984.61,981.95,984.61,88078535.0,0,^_usnm.txt
^_USNM,D,20160728,0,987.09,987.09,985.84,985.84,82975000.0,0,^_usnm.txt
^_USNM,D,20160729,0,986.67,987.3,986.67,987.3,96893891.0,0,^_usnm.txt
^_USNM,D,20160801,0,986.12,987.72,986.12,987.72,88537577.0,0,^_usnm.txt
^_USNM,D,20160802,0,990.95,990.95,980.66,980.66,110396441.0,0,^_usnm.txt
^_USNM,D,20160803,0,979.68,988.26,979.68,988.26,88852145.0,0,^_usnm.txt
^_USNM,D,20160804,0,988.06,990.5,988.06,990.5,86637496.0,0,^_usnm.txt
^_USNM,D,20160805,0,988.41,993.49,988.41,993.49,92919270.0,0,^_usnm.txt
^_USNM,D,20160808,0,998.01,998.66,998.01,998.66,92813549.0,0,^_usnm.txt
^_USNM,D,20160809,0,1000.98,1000.98,999.31,999.31,85812611.0,0,^_usnm.txt
^_USNM,D,20160810,0,1003.66,1003.66,997.78,997.78,89835949.0,0,^_usnm.txt
^_USNM,D,20160811,0,1002.05,1002.55,1002.05,1002.55,105527512.0,0,^_usnm.txt
^_USNM,D,20160812,0,1004.74,1004.74,1001.84,1001.84,112629915.0,0,^_usnm.txt
^_USNM,D,20160815,0,1004.76,1006.8,1004.76,1006.8,87255629.0,0,^_usnm.txt
^_USNM,D,20160816,0,1004.72,1004.72,1002.86,1002.86,84993900.0,0,^_usnm.txt
^_USNM,D,20160817,0,1002.84,1002.84,1001.31,1001.31,95143085.0,0,^_usnm.txt
^_USNM,D,20160818,0,1004.0,1007.33,1004.0,1007.33,80036517.0,0,^_usnm.txt
^_USNM,D,20160819,0,1005.09,1005.09,1003.61,1003.61,82611863.0,0,^_usnm.txt
^_USNM,D,20160822,0,1003.72,1003.72,1003.68,1003.68,80492906.0,0,^_usnm.txt
^_USNM,D,20160823,0,1003.62,1003.62,1002.79,1002.79,74291498.0,0,^_usnm.txt
^_USNM,D,20160824,0,1001.73,1001.73,990.64,990.64,94634066.0,0,^_usnm.txt
^_USNM,D,20160825,0,990.27,990.78,990.27,990.78,78775793.0,0,^_usnm.txt
^_USNM,D,20160826,0,994.41,994.41,989.03,989.03,89842589.0,0,^_usnm.txt
^_USNM,D,20160829,0,990.33,992.03,990.33,992.03,71305919.0,0,^_usnm.txt
^_USNM,D,20160830,0,993.15,993.15,986.55,986.55,80983256.0,0,^_usnm.txt
^_USNM,D,20160831,0,985.88,985.88,983.41,983.41,100819186.0,0,^_usnm.txt
^_USNM,D,20160901,0,983.25,985.24,983.25,985.24,96081422.0,0,^_usnm.txt
^_USNM,D,20160902,0,988.57,993.75,988.57,993.75,86497665.0,0,^_usnm.txt
^_USNM,D,20160906,0,1001.64,1009.11,1001.64,1009.11,136916612.0,0,^_usnm.txt
^_USNM,D,20160907,0,1008.51,1008.51,1005.69,1005.69,116403706.0,0,^_usnm.txt
^_USNM,D,20160908,0,1008.81,1014.82,1008.81,1014.82,98934312.0,0,^_usnm.txt
^_USNM,D,20160909,0,1010.86,1010.86,993.09,993.09,138592882.0,0,^_usnm.txt
^_USNM,D,20160912,0,993.25,1000.66,993.25,1000.66,120185554.0,0,^_usnm.txt
^_USNM,D,20160913,0,996.37,996.37,984.03,984.03,106570798.0,0,^_usnm.txt
^_USNM,D,20160914,0,986.26,986.42,986.26,986.42,94937778.0,0,^_usnm.txt
^_USNM,D,20160915,0,986.39,989.27,986.39,989.27,97427702.0,0,^_usnm.txt
^_USNM,D,20160916,0,988.75,989.77,988.75,989.77,242655997.0,0,^_usnm.txt
^_USNM,D,20160919,0,995.74,996.48,995.74,996.48,69891818.0,0,^_usnm.txt
^_USNM,D,20160920,0,998.75,998.75,994.52,994.52,70172400.0,0,^_usnm.txt
^_USNM,D,20160921,0,995.2,1000.53,995.2,1000.53,215191209.0,0,^_usnm.txt
^_USNM,D,20160922,0,1004.55,1004.55,1001.01,1001.01,137332312.0,0,^_usnm.txt
^_USNM,D,20160923,0,1001.32,1001.32,998.03,998.03,98567309.0,0,^_usnm.txt
^_USNM,D,20160926,0,998.64,998.64,993.84,993.84,89359992.0,0,^_usnm.txt
^_USNM,D,20160927,0,991.4,991.4,988.03,988.03,107068061.0,0,^_usnm.txt
^_USNM,D,20160928,0,989.93,993.23,989.93,993.23,99260951.0,0,^_usnm.txt
^_USNM,D,20160929,0,993.89,993.89,991.85,991.85,103315940.0,0,^_usnm.txt
^_USNM,D,20160930,0,997.58,997.58,996.89,996.89,117876096.0,0,^_usnm.txt
^_USNM,D,20161003,0,997.0,997.0,994.83,994.83,80767652.0,0,^_usnm.txt
^_USNM,D,20161004,0,992.86,992.86,979.37,979.37,113660351.0,0,^_usnm.txt
^_USNM,D,20161005,0,980.44,980.56,980.44,980.56,97236209.0,0,^_usnm.txt
^_USNM,D,20161006,0,979.06,979.06,974.39,974.39,88103159.0,0,^_usnm.txt
^_USNM,D,20161007,0,977.28,977.28,976.16,976.16,88147970.0,0,^_usnm.txt
^_USNM,D,20161010,0,977.9,978.43,977.9,978.43,62586210.0,0,^_usnm.txt
^_USNM,D,20161011,0,979.71,979.71,968.8,968.8,76951445.0,0,^_usnm.txt
^_USNM,D,20161012,0,970.07,970.07,969.93,969.93,84140715.0,0,^_usnm.txt
^_USNM,D,20161013,0,967.68,967.68,963.06,963.06,89210626.0,0,^_usnm.txt
^_USNM,D,20161014,0,964.86,964.86,958.02,958.02,71526656.0,0,^_usnm.txt
^_USNM,D,20161017,0,955.14,955.14,950.04,950.04,70377442.0,0,^_usnm.txt
^_USNM,D,20161018,0,954.4,955.85,954.4,955.85,77966946.0,0,^_usnm.txt
^_USNM,D,20161019,0,958.25,961.49,958.25,961.49,83687617.0,0,^_usnm.txt
^_USNM,D,20161020,0,962.51,962.51,960.25,960.25,76229562.0,0,^_usnm.txt
^_USNM,D,20161021,0,959.85,959.85,958.43,958.43,80675238.0,0,^_usnm.txt
^_USNM,D,20161024,0,960.38,960.38,953.89,953.89,74248238.0,0,^_usnm.txt
^_USNM,D,20161025,0,954.07,954.07,953.31,953.31,88158799.0,0,^_usnm.txt
^_USNM,D,20161026,0,951.86,951.86,944.56,944.56,78350122.0,0,^_usnm.txt
^_USNM,D,20161027,0,945.19,945.19,935.46,935.46,70252369.0,0,^_usnm.txt
^_USNM,D,20161028,0,935.75,935.75,933.08,933.08,87389506.0,0,^_usnm.txt
^_USNM,D,20161031,0,933.41,933.41,929.42,929.42,73642498.0,0,^_usnm.txt
^_USNM,D,20161101,0,932.39,932.39,928.92,928.92,105114824.0,0,^_usnm.txt
^_USNM,D,20161102,0,930.85,930.85,919.7,919.7,130272020.0,0,^_usnm.txt
^_USNM,D,20161103,0,918.49,918.49,909.98,909.98,88863362.0,0,^_usnm.txt
^_USNM,D,20161104,0,911.89,911.89,911.49,911.49,93401142.0,0,^_usnm.txt
^_USNM,D,20161107,0,915.94,921.94,915.94,921.94,83431725.0,0,^_usnm.txt
^_USNM,D,20161108,0,920.43,922.7,920.43,922.7,73814313.0,0,^_usnm.txt
^_USNM,D,20161109,0,919.29,934.58,919.29,934.58,117280808.0,0,^_usnm.txt
^_USNM,D,20161110,0,934.82,934.82,931.01,931.01,144069859.0,0,^_usnm.txt
^_USNM,D,20161111,0,932.41,933.15,932.41,933.15,132451042.0,0,^_usnm.txt
^_USNM,D,20161114,0,933.46,933.46,931.92,931.92,112641088.0,0,^_usnm.txt
^_USNM,D,20161115,0,934.25,939.84,934.25,939.84,110954360.0,0,^_usnm.txt
^_USNM,D,20161116,0,942.81,942.81,938.9,938.9,94393649.0,0,^_usnm.txt
^_USNM,D,20161117,0,937.13,937.43,937.13,937.43,110924866.0,0,^_usnm.txt
^_USNM,D,20161118,0,937.7,942.31,937.7,942.31,117934936.0,0,^_usnm.txt
^_USNM,D,20161121,0,948.34,952.79,948.34,952.79,146841685.0,0,^_usnm.txt
^_USNM,D,20161122,0,953.31,954.64,953.31,954.64,137003361.0,0,^_usnm.txt
^_USNM,D,20161123,0,950.61,950.7,950.61,950.7,110582315.0,0,^_usnm.txt
^_USNM,D,20161125,0,951.96,954.76,951.96,954.76,55291655.0,0,^_usnm.txt
^_USNM,D,20161128,0,956.75,956.75,946.92,946.92,95690636.0,0,^_usnm.txt
^_USNM,D,20161129,0,944.42,944.42,943.9,943.9,103831865.0,0,^_usnm.txt
^_USNM,D,20161130,0,948.09,948.09,944.63,944.63,139102978.0,0,^_usnm.txt
^_USNM,D,20161201,0,944.83,944.83,937.27,937.27,132241053.0,0,^_usnm.txt
^_USNM,D,20161202,0,935.37,935.37,933.74,933.74,116939330.0,0,^_usnm.txt
^_USNM,D,20161205,0,937.15,942.13,937.15,942.13,126488939.0,0,^_usnm.txt
^_USNM,D,20161206,0,943.87,947.2,943.87,947.2,134739592.0,0,^_usnm.txt
^_USNM,D,20161207,0,949.1,952.89,949.1,952.89,134167484.0,0,^_usnm.txt
^_USNM,D,20161208,0,955.86,959.15,955.86,959.15,163178775.0,0,^_usnm.txt
^_USNM,D,20161209,0,963.94,963.94,962.73,962.73,177778765.0,0,^_usnm.txt
^_USNM,D,20161212,0,967.11,967.11,959.21,959.21,155505349.0,0,^_usnm.txt
^_USNM,D,20161213,0,958.84,958.84,956.42,956.42,137128651.0,0,^_usnm.txt
^_USNM,D,20161214,0,958.73,958.73,945.15,945.15,149493745.0,0,^_usnm.txt
^_USNM,D,20161215,0,941.52,941.52,940.72,940.72,149359097.0,0,^_usnm.txt
^_USNM,D,20161216,0,941.91,944.48,941.91,944.48,225957367.0,0,^_usnm.txt
^_USNM,D,20161219,0,945.63,945.63,944.82,944.82,141968783.0,0,^_usnm.txt
^_USNM,D,20161220,0,944.17,949.08,944.17,949.08,116033446.0,0,^_usnm.txt
^_USNM,D,20161221,0,949.3,949.3,948.14,948.14,94178798.0,0,^_usnm.txt
^_USNM,D,20161222,0,948.94,948.94,947.54,947.54,116022170.0,0,^_usnm.txt
^_USNM,D,20161223,0,944.94,953.23,944.94,953.23,103027477.0,0,^_usnm.txt
^_USNM,D,20161227,0,955.09,955.09,953.98,953.98,110475856.0,0,^_usnm.txt
^_USNM,D,20161228,0,953.3,953.3,950.0,950.0,112195062.0,0,^_usnm.txt
^_USNM,D,20161229,0,952.17,954.51,952.17,954.51,124808631.0,0,^_usnm.txt
^_USNM,D,20161230,0,954.7,954.7,952.38,952.38,138863564.0,0,^_usnm.txt
^_USNM,D,20170103,0,958.42,962.5,958.42,962.5,141760921.0,0,^_usnm.txt
^_USNM,D,20170104,0,968.85,971.42,968.85,971.42,126734185.0,0,^_usnm.txt
^_USNM,D,20170105,0,977.05,977.05,976.87,976.87,141442329.0,0,^_usnm.txt
^_USNM,D,20170106,0,979.51,979.51,977.18,977.18,140181795.0,0,^_usnm.txt
^_USNM,D,20170109,0,982.54,982.54,977.57,977.57,230570657.0,0,^_usnm.txt
^_USNM,D,20170110,0,981.75,984.81,981.75,984.81,163159506.0,0,^_usnm.txt
^_USNM,D,20170111,0,989.08,989.08,986.65,986.65,156333653.0,0,^_usnm.txt
^_USNM,D,20170112,0,990.53,990.53,982.25,982.25,128975475.0,0,^_usnm.txt
^_USNM,D,20170113,0,985.7,988.73,985.7,988.73,114108851.0,0,^_usnm.txt
^_USNM,D,20170117,0,994.38,994.38,986.22,986.22,170266674.0,0,^_usnm.txt
^_USNM,D,20170118,0,987.05,987.05,981.91,981.91,131382849.0,0,^_usnm.txt
^_USNM,D,20170119,0,980.96,980.96,979.04,979.04,137887187.0,0,^_usnm.txt
^_USNM,D,20170120,0,980.45,984.21,980.45,984.21,116268659.0,0,^_usnm.txt
^_USNM,D,20170123,0,985.47,985.47,983.72,983.72,124132675.0,0,^_usnm.txt
^_USNM,D,20170124,0,986.9,991.32,986.9,991.32,177319926.0,0,^_usnm.txt
^_USNM,D,20170125,0,993.55,996.31,993.55,996.31,147578025.0,0,^_usnm.txt
^_USNM,D,20170126,0,995.5,995.5,991.76,991.76,121334605.0,0,^_usnm.txt
^_USNM,D,20170127,0,993.8,994.65,993.8,994.65,114093518.0,0,^_usnm.txt
^_USNM,D,20170130,0,994.33,994.33,984.67,984.67,143980006.0,0,^_usnm.txt
^_USNM,D,20170131,0,986.94,986.94,986.53,986.53,175017746.0,0,^_usnm.txt
^_USNM,D,20170201,0,988.34,988.34,983.55,983.55,128587688.0,0,^_usnm.txt
^_USNM,D,20170202,0,985.17,985.17,984.5,984.5,119895165.0,0,^_usnm.txt
^_USNM,D,20170203,0,989.32,994.21,989.32,994.21,126309954.0,0,^_usnm.txt
^_USNM,D,20170206,0,998.17,998.17,997.85,997.85,156050176.0,0,^_usnm.txt
^_USNM,D,20170207,0,1000.17,1000.17,1000.07,1000.07,197622618.0,0,^_usnm.txt
^_USNM,D,20170208,0,1002.69,1002.69,997.01,997.01,143883031.0,0,^_usnm.txt
^_USNM,D,20170209,0,998.65,1000.04,998.65,1000.04,128816821.0,0,^_usnm.txt
^_USNM,D,20170210,0,1002.32,1008.38,1002.32,1008.38,148831996.0,0,^_usnm.txt
^_USNM,D,20170213,0,1011.5,1011.5,1011.43,1011.43,161468027.0,0,^_usnm.txt
^_USNM,D,20170214,0,1012.4,1012.4,1004.55,1011.08,212697159.0,0,^_usnm.txt
^_USNM,D,20170215,0,1011.12,1011.12,1007.03,1010.39,116834688.0,0,^_usnm.txt
^_USNM,D,20170216,0,1010.49,1012.29,1007.01,1007.01,127481559.0,0,^_usnm.txt
^_USNM,D,20170217,0,1007.28,1008.76,1002.21,1005.73,136322291.0,0,^_usnm.txt
^_USNM,D,20170221,0,1007.72,1008.79,1003.27,1006.59,141006257.0,0,^_usnm.txt
^_USNM,D,20170222,0,1006.75,1006.75,994.49,996.58,125903270.0,0,^_usnm.txt
^_USNM,D,20170223,0,999.5,1001.78,994.47,995.71,173867754.0,0,^_usnm.txt
^_USNM,D,20170224,0,995.72,996.16,989.23,991.12,131074549.0,0,^_usnm.txt
^_USNM,D,20170227,0,991.63,996.92,990.68,995.2,135283236.0,0,^_usnm.txt
^_USNM,D,20170228,0,997.85,997.85,983.97,984.23,129775960.0,0,^_usnm.txt
^_USNM,D,20170301,0,984.28,994.7,984.28,990.72,131617266.0,0,^_usnm.txt
^_USNM,D,20170302,0,990.37,990.43,980.76,982.03,126095111.0,0,^_usnm.txt
^_USNM,D,20170303,0,982.02,984.32,977.51,982.41,123426062.0,0,^_usnm.txt
^_USNM,D,20170306,0,982.45,982.78,970.69,972.47,112149718.0,0,^_usnm.txt
^_USNM,D,20170307,0,971.97,973.53,964.39,965.48,123302128.0,0,^_usnm.txt
^_USNM,D,20170308,0,964.85,968.51,961.97,962.13,125257419.0,0,^_usnm.txt
^_USNM,D,20170309,0,961.27,961.92,952.02,952.83,117679524.0,0,^_usnm.txt
^_USNM,D,20170310,0,953.07,957.4,952.07,952.07,130753658.0,0,^_usnm.txt
^_USNM,D,20170313,0,951.71,959.43,951.18,958.11,140414640.0,0,^_usnm.txt
^_USNM,D,20170314,0,957.27,957.27,947.46,949.04,150111026.0,0,^_usnm.txt
^_USNM,D,20170315,0,951.77,963.24,951.7,960.58,166784504.0,0,^_usnm.txt
^_USNM,D,20170316,0,960.67,964.66,960.67,962.8,106175848.0,0,^_usnm.txt
^_USNM,D,20170317,0,963.05,966.94,962.37,965.16,184636191.0,0,^_usnm.txt
^_USNM,D,20170320,0,965.13,967.92,962.39,967.92,101364253.0,0,^_usnm.txt
^_USNM,D,20170321,0,968.21,970.84,955.79,956.05,123397013.0,0,^_usnm.txt
^_USNM,D,20170322,0,954.49,954.56,947.04,947.7,85275478.0,0,^_usnm.txt
^_USNM,D,20170323,0,947.71,950.7,947.11,950.67,96627588.0,0,^_usnm.txt
^_USNM,D,20170324,0,950.59,951.69,947.44,949.52,75851084.0,0,^_usnm.txt
^_USNM,D,20170327,0,948.78,955.19,948.78,955.15,94948819.0,0,^_usnm.txt
^_USNM,D,20170328,0,956.41,957.99,954.02,954.98,109316779.0,0,^_usnm.txt
^_USNM,D,20170329,0,954.9,961.57,953.75,960.81,83901922.0,0,^_usnm.txt
^_USNM,D,20170330,0,960.08,961.33,958.15,959.31,83309073.0,0,^_usnm.txt
^_USNM,D,20170331,0,959.99,965.9,959.25,964.71,87127934.0,0,^_usnm.txt
^_USNM,D,20170403,0,965.5,967.22,959.9,960.03,104232874.0,0,^_usnm.txt
^_USNM,D,20170404,0,960.09,964.54,958.77,958.77,118646339.0,0,^_usnm.txt
^_USNM,D,20170405,0,959.27,966.24,957.67,957.67,118667668.0,0,^_usnm.txt
^_USNM,D,20170406,0,958.21,958.7,953.78,958.37,75852646.0,0,^_usnm.txt
^_USNM,D,20170407,0,958.16,960.97,955.32,957.37,95568169.0,0,^_usnm.txt
^_USNM,D,20170410,0,960.1,966.75,958.78,964.57,119874490.0,0,^_usnm.txt
^_USNM,D,20170411,0,965.51,969.16,962.57,965.21,113231348.0,0,^_usnm.txt
