<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,Source
^_USNM,D,20160216,0,833.46,835.37,833.46,835.37,69634617.0,0,^_usnm.txt
^_USNM,D,20160217,0,838.96,848.24,838.96,848.24,68263582.0,0,^_usnm.txt
^_USNM,D,20160218,0,848.99,848.99,848.14,848.14,64118433.0,0,^_usnm.txt
^_USNM,D,20160219,0,849.0,849.0,845.8,845.8,65392448.0,0,^_usnm.txt
^_USNM,D,20160222,0,851.78,853.42,851.78,853.42,65156979.0,0,^_usnm.txt
^_USNM,D,20160223,0,854.91,854.91,850.22,850.22,74397841.0,0,^_usnm.txt
^_USNM,D,20160224,0,851.58,852.53,851.58,852.53,78829649.0,0,^_usnm.txt
^_USNM,D,20160225,0,853.87,860.12,853.87,860.12,58415827.0,0,^_usnm.txt
^_USNM,D,20160226,0,860.97,862.48,860.97,862.48,64261815.0,0,^_usnm.txt
^_USNM,D,20160229,0,864.11,864.11,863.88,863.88,74224951.0,0,^_usnm.txt
^_USNM,D,20160301,0,868.33,869.17,868.33,869.17,73271411.0,0,^_usnm.txt
^_USNM,D,20160302,0,869.13,881.45,869.13,881.45,59902907.0,0,^_usnm.txt
^_USNM,D,20160303,0,884.59,891.56,884.59,891.56,79992555.0,0,^_usnm.txt
^_USNM,D,20160304,0,900.39,903.0,900.39,903.0,104483298.0,0,^_usnm.txt
^_USNM,D,20160307,0,909.81,920.08,909.81,920.08,92563544.0,0,^_usnm.txt
^_USNM,D,20160308,0,925.3,925.3,909.89,909.89,87131200.0,0,^_usnm.txt
^_USNM,D,20160309,0,915.26,918.05,915.26,918.05,70294210.0,0,^_usnm.txt
^_USNM,D,20160310,0,920.09,920.09,913.89,913.89,69948278.0,0,^_usnm.txt
^_USNM,D,20160311,0,918.24,920.15,918.24,920.15,72142799.0,0,^_usnm.txt
^_USNM,D,20160314,0,921.57,921.57,920.22,920.22,65887280.0,0,^_usnm.txt
^_USNM,D,20160315,0,916.78,916.78,909.52,909.52,56460133.0,0,^_usnm.txt
^_USNM,D,20160316,0,910.31,919.54,910.31,919.54,67850440.0,0,^_usnm.txt
^_USNM,D,20160317,0,923.42,927.21,923.42,927.21,76163912.0,0,^_usnm.txt
^_USNM,D,20160318,0,930.61,930.61,924.73,924.73,135394102.0,0,^_usnm.txt
^_USNM,D,20160321,0,926.01,926.93,926.01,926.93,53164539.0,0,^_usnm.txt
^_USNM,D,20160322,0,930.08,930.08,925.58,925.58,59499587.0,0,^_usnm.txt
^_USNM,D,20160323,0,921.37,921.37,910.05,910.05,67740591.0,0,^_usnm.txt
^_USNM,D,20160324,0,907.41,910.15,907.41,910.15,51561351.0,0,^_usnm.txt
^_USNM,D,20160328,0,912.73,912.73,908.27,908.27,44296701.0,0,^_usnm.txt
^_USNM,D,20160329,0,907.71,913.15,907.71,913.15,57072872.0,0,^_usnm.txt
^_USNM,D,20160330,0,917.85,917.85,916.95,916.95,62222167.0,0,^_usnm.txt
^_USNM,D,20160331,0,920.14,920.14,913.91,913.91,66345102.0,0,^_usnm.txt
^_USNM,D,20160401,0,913.42,916.56,913.42,916.56,63814855.0,0,^_usnm.txt
^_USNM,D,20160404,0,917.69,917.69,917.55,917.55,60710871.0,0,^_usnm.txt
^_USNM,D,20160405,0,916.32,916.32,916.09,916.09,57526386.0,0,^_usnm.txt
^_USNM,D,20160406,0,919.42,921.77,919.42,921.77,70481455.0,0,^_usnm.txt
^_USNM,D,20160407,0,924.1,924.1,921.06,921.06,68091988.0,0,^_usnm.txt
^_USNM,D,20160408,0,926.92,929.79,926.92,929.79,63802733.0,0,^_usnm.txt
^_USNM,D,20160411,0,935.39,937.71,935.39,937.71,107795430.0,0,^_usnm.txt
^_USNM,D,20160412,0,940.87,950.13,940.87,950.13,82172027.0,0,^_usnm.txt
^_USNM,D,20160413,0,950.94,952.27,950.94,952.27,79836255.0,0,^_usnm.txt
^_USNM,D,20160414,0,953.56,953.56,950.77,950.77,62641351.0,0,^_usnm.txt
^_USNM,D,20160415,0,951.02,951.02,950.54,950.54,68784439.0,0,^_usnm.txt
^_USNM,D,20160418,0,949.64,955.57,949.64,955.57,86408324.0,0,^_usnm.txt
^_USNM,D,20160419,0,963.72,967.07,963.72,967.07,95754792.0,0,^_usnm.txt
^_USNM,D,20160420,0,969.43,969.43,968.81,968.81,93860224.0,0,^_usnm.txt
^_USNM,D,20160421,0,971.78,971.78,966.64,966.64,98968006.0,0,^_usnm.txt
^_USNM,D,20160422,0,969.23,969.23,966.62,966.62,76584227.0,0,^_usnm.txt
^_USNM,D,20160425,0,968.23,968.23,963.91,963.91,68213914.0,0,^_usnm.txt
^_USNM,D,20160426,0,967.59,971.51,967.59,971.51,71928514.0,0,^_usnm.txt
^_USNM,D,20160427,0,972.4,973.96,972.4,973.96,68821879.0,0,^_usnm.txt
^_USNM,D,20160428,0,976.16,977.85,976.16,977.85,84731622.0,0,^_usnm.txt
^_USNM,D,20160429,0,983.75,983.75,983.58,983.58,93479697.0,0,^_usnm.txt
^_USNM,D,20160502,0,988.75,988.75,983.45,983.45,84514090.0,0,^_usnm.txt
^_USNM,D,20160503,0,982.48,982.48,974.05,974.05,78110336.0,0,^_usnm.txt
^_USNM,D,20160504,0,972.57,972.57,968.91,968.91,103316039.0,0,^_usnm.txt
^_USNM,D,20160505,0,974.56,974.56,964.37,964.37,125541113.0,0,^_usnm.txt
^_USNM,D,20160506,0,962.84,964.09,962.84,964.09,91541021.0,0,^_usnm.txt
^_USNM,D,20160509,0,962.99,962.99,957.04,957.04,76608820.0,0,^_usnm.txt
^_USNM,D,20160510,0,957.51,960.35,957.51,960.35,60769225.0,0,^_usnm.txt
^_USNM,D,20160511,0,960.26,960.26,957.01,957.01,70867078.0,0,^_usnm.txt
^_USNM,D,20160512,0,962.17,962.17,949.0,949.0,83104865.0,0,^_usnm.txt
^_USNM,D,20160513,0,951.21,951.23,951.21,951.23,75777392.0,0,^_usnm.txt
^_USNM,D,20160516,0,953.24,953.24,952.52,952.52,93522035.0,0,^_usnm.txt
^_USNM,D,20160517,0,949.23,949.23,945.12,945.12,74422539.0,0,^_usnm.txt
^_USNM,D,20160518,0,943.44,943.44,937.16,937.16,76081907.0,0,^_usnm.txt
^_USNM,D,20160519,0,931.1,931.1,929.27,929.27,72068271.0,0,^_usnm.txt
^_USNM,D,20160520,0,931.96,931.96,930.89,930.89,61868209.0,0,^_usnm.txt
^_USNM,D,20160523,0,934.74,938.55,934.74,938.55,60902571.0,0,^_usnm.txt
^_USNM,D,20160524,0,938.81,938.81,937.46,937.46,78516212.0,0,^_usnm.txt
^_USNM,D,20160525,0,937.02,943.44,937.02,943.44,84310455.0,0,^_usnm.txt
^_USNM,D,20160526,0,945.21,945.21,942.49,942.49,66989062.0,0,^_usnm.txt
^_USNM,D,20160527,0,943.3,943.3,937.82,937.82,68496803.0,0,^_usnm.txt
^_USNM,D,20160531,0,938.06,940.7,938.06,940.7,99278497.0,0,^_usnm.txt
^_USNM,D,20160601,0,938.97,941.12,938.97,941.12,70817011.0,0,^_usnm.txt
^_USNM,D,20160602,0,939.78,939.78,939.77,939.77,72819721.0,0,^_usnm.txt
^_USNM,D,20160603,0,945.71,946.27,945.71,946.27,201378720.0,0,^_usnm.txt
^_USNM,D,20160606,0,953.69,959.57,953.69,959.57,121357231.0,0,^_usnm.txt
^_USNM,D,20160607,0,960.21,962.55,960.21,962.55,93749764.0,0,^_usnm.txt
^_USNM,D,20160608,0,969.01,971.59,969.01,971.59,124432325.0,0,^_usnm.txt
^_USNM,D,20160609,0,971.1,971.65,971.1,971.65,106202407.0,0,^_usnm.txt
^_USNM,D,20160610,0,967.81,967.81,961.87,961.87,118058957.0,0,^_usnm.txt
^_USNM,D,20160613,0,962.73,962.73,953.57,953.57,106803884.0,0,^_usnm.txt
^_USNM,D,20160614,0,953.65,953.65,947.86,947.86,87854371.0,0,^_usnm.txt
