Country,<TICKER>,<DATE>,<CLOSE>,<VOL>,Date,Year,Quarter,CountryID,IMF based exchange rate,Population,Currency,Per capita GNI,Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Imports of goods and services,Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
Germany,^_DE,20160331,964.04,123999909.0,2016-03-31,2016,2016Q1,276,0.904035128,82331423, Euro ,43161,1600000000000.0,2520000000000.0,690000000000.0,1340000000000.0,3550000000000.0,3470000000000.0
Germany,^_DE,20160630,928.32,184567273.0,2016-06-30,2016,2016Q2,276,0.904035128,82331423, Euro ,43161,1600000000000.0,2520000000000.0,690000000000.0,1340000000000.0,3550000000000.0,3470000000000.0
Germany,^_DE,20160930,957.0,232584243.0,2016-09-30,2016,2016Q3,276,0.904035128,82331423, Euro ,43161,1600000000000.0,2520000000000.0,690000000000.0,1340000000000.0,3550000000000.0,3470000000000.0
Germany,^_DE,20161230,945.1,61221620.0,2016-12-30,2016,2016Q4,276,0.904035128,82331423, Euro ,43161,1600000000000.0,2520000000000.0,690000000000.0,1340000000000.0,3550000000000.0,3470000000000.0
Germany,^_DE,20170331,1046.19,162410852.0,2017-03-31,2017,2017Q1,276,0.885205508,82624374, Euro ,45735,1740000000000.0,2660000000000.0,732000000000.0,1480000000000.0,3780000000000.0,3690000000000.0
Germany,^_DE,20170630,1115.23,156890447.0,2017-06-30,2017,2017Q2,276,0.885205508,82624374, Euro ,45735,1740000000000.0,2660000000000.0,732000000000.0,1480000000000.0,3780000000000.0,3690000000000.0
Germany,^_DE,20170929,1144.27,154277048.0,2017-09-29,2017,2017Q3,276,0.885205508,82624374, Euro ,45735,1740000000000.0,2660000000000.0,732000000000.0,1480000000000.0,3780000000000.0,3690000000000.0
Germany,^_DE,20171229,1123.63,74563551.0,2017-12-29,2017,2017Q4,276,0.885205508,82624374, Euro ,45735,1740000000000.0,2660000000000.0,732000000000.0,1480000000000.0,3780000000000.0,3690000000000.0
Germany,^_DE,20180329,1085.39,169567839.0,2018-03-29,2018,2018Q1,276,0.846772667,82896696, Euro ,49561,1880000000000.0,2860000000000.0,790000000000.0,1640000000000.0,4110000000000.0,3970000000000.0
Germany,^_DE,20180629,1035.9,214288867.0,2018-06-29,2018,2018Q2,276,0.846772667,82896696, Euro ,49561,1880000000000.0,2860000000000.0,790000000000.0,1640000000000.0,4110000000000.0,3970000000000.0
Germany,^_DE,20180928,993.45,184787091.0,2018-09-28,2018,2018Q3,276,0.846772667,82896696, Euro ,49561,1880000000000.0,2860000000000.0,790000000000.0,1640000000000.0,4110000000000.0,3970000000000.0
Germany,^_DE,20181228,828.04,91667542.0,2018-12-28,2018,2018Q4,276,0.846772667,82896696, Euro ,49561,1880000000000.0,2860000000000.0,790000000000.0,1640000000000.0,4110000000000.0,3970000000000.0
Germany,^_DE,20190329,902.77,156066868.0,2019-03-29,2019,2019Q1,276,0.893276257,83148141, Euro ,48336,1810000000000.0,2810000000000.0,787000000000.0,1590000000000.0,4020000000000.0,3890000000000.0
Germany,^_DE,20190628,920.37,144318851.0,2019-06-28,2019,2019Q2,276,0.893276257,83148141, Euro ,48336,1810000000000.0,2810000000000.0,787000000000.0,1590000000000.0,4020000000000.0,3890000000000.0
Germany,^_DE,20190930,890.36,117159108.0,2019-09-30,2019,2019Q3,276,0.893276257,83148141, Euro ,48336,1810000000000.0,2810000000000.0,787000000000.0,1590000000000.0,4020000000000.0,3890000000000.0
Germany,^_DE,20191230,929.09,65254468.0,2019-12-30,2019,2019Q4,276,0.893276257,83148141, Euro ,48336,1810000000000.0,2810000000000.0,787000000000.0,1590000000000.0,4020000000000.0,3890000000000.0
Germany,^_DE,20200331,696.14,251088926.0,2020-03-31,2020,2020Q1,276,0.875506397,83328988, Euro ,48053,1670000000000.0,2810000000000.0,854000000000.0,1450000000000.0,4000000000000.0,3890000000000.0
Germany,^_DE,20200630,827.71,194127936.0,2020-06-30,2020,2020Q2,276,0.875506397,83328988, Euro ,48053,1670000000000.0,2810000000000.0,854000000000.0,1450000000000.0,4000000000000.0,3890000000000.0
Germany,^_DE,20200930,855.08,123506139.0,2020-09-30,2020,2020Q3,276,0.875506397,83328988, Euro ,48053,1670000000000.0,2810000000000.0,854000000000.0,1450000000000.0,4000000000000.0,3890000000000.0
Germany,^_DE,20201230,886.19,96744332.0,2020-12-30,2020,2020Q4,276,0.875506397,83328988, Euro ,48053,1670000000000.0,2810000000000.0,854000000000.0,1450000000000.0,4000000000000.0,3890000000000.0
Germany,^_DE,20210331,956.02,200564907.0,2021-03-31,2021,2021Q1,276,0.845494139,83408554, Euro ,52885,2000000000000.0,3040000000000.0,943000000000.0,1780000000000.0,4410000000000.0,4260000000000.0
Germany,^_DE,20210630,992.48,174889619.0,2021-06-30,2021,2021Q2,276,0.845494139,83408554, Euro ,52885,2000000000000.0,3040000000000.0,943000000000.0,1780000000000.0,4410000000000.0,4260000000000.0
Germany,^_DE,20210930,983.01,248085445.0,2021-09-30,2021,2021Q3,276,0.845494139,83408554, Euro ,52885,2000000000000.0,3040000000000.0,943000000000.0,1780000000000.0,4410000000000.0,4260000000000.0
Germany,^_DE,20211230,1038.73,96629764.0,2021-12-30,2021,2021Q4,276,0.845494139,83408554, Euro ,52885,2000000000000.0,3040000000000.0,943000000000.0,1780000000000.0,4410000000000.0,4260000000000.0
"China, Hong Kong SAR",^_HK,20160331,961.26,12349239515.0,2016-03-31,2016,2016Q1,344,7.76225,7435927, Hong Kong Dollar ,44234,600000000000.0,245000000000.0,31946020806.0,593000000000.0,329000000000.0,321000000000.0
"China, Hong Kong SAR",^_HK,20160630,927.3,11793763502.0,2016-06-30,2016,2016Q2,344,7.76225,7435927, Hong Kong Dollar ,44234,600000000000.0,245000000000.0,31946020806.0,593000000000.0,329000000000.0,321000000000.0
"China, Hong Kong SAR",^_HK,20160930,978.34,16338981955.0,2016-09-30,2016,2016Q3,344,7.76225,7435927, Hong Kong Dollar ,44234,600000000000.0,245000000000.0,31946020806.0,593000000000.0,329000000000.0,321000000000.0
"China, Hong Kong SAR",^_HK,20161230,968.08,10803876608.0,2016-12-30,2016,2016Q4,344,7.76225,7435927, Hong Kong Dollar ,44234,600000000000.0,245000000000.0,31946020806.0,593000000000.0,329000000000.0,321000000000.0
"China, Hong Kong SAR",^_HK,20170331,999.39,12950061012.0,2017-03-31,2017,2017Q1,344,7.79325,7461519, Hong Kong Dollar ,47725,645000000000.0,263000000000.0,33547877971.0,641000000000.0,356000000000.0,341000000000.0
