Date,<TICKER>,<OPEN>,<CLOSE>,<VOL>,Year,Country,GDP,GNI (USD),Population,Exchange Rate (AMA)
04-25,USNM,968.23,963.91,68213914.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
04-26,USNM,967.59,971.51,71928514.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
04-27,USNM,972.4,973.96,68821879.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
04-28,USNM,976.16,977.85,84731622.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
04-29,USNM,983.75,983.58,93479697.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
05-02,USNM,988.75,983.45,84514090.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
05-03,USNM,982.48,974.05,78110336.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
05-04,USNM,972.57,968.91,103316039.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
05-05,USNM,974.56,964.37,125541113.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
05-06,USNM,962.84,964.09,91541021.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
05-09,USNM,962.99,957.04,76608820.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
05-10,USNM,957.51,960.35,60769225.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
05-11,USNM,960.26,957.01,70867078.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
05-12,USNM,962.17,949.0,83104865.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
05-13,USNM,951.21,951.23,75777392.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
05-16,USNM,953.24,952.52,93522035.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
05-17,USNM,949.23,945.12,74422539.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
05-18,USNM,943.44,937.16,76081907.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
05-19,USNM,931.1,929.27,72068271.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
05-20,USNM,931.96,930.89,61868209.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
05-23,USNM,934.74,938.55,60902571.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
05-24,USNM,938.81,937.46,78516212.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
05-25,USNM,937.02,943.44,84310455.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
05-26,USNM,945.21,942.49,66989062.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
05-27,USNM,943.3,937.82,68496803.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
05-31,USNM,938.06,940.7,99278497.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
06-01,USNM,938.97,941.12,70817011.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
06-02,USNM,939.78,939.77,72819721.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
06-03,USNM,945.71,946.27,201378720.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
06-06,USNM,953.69,959.57,121357231.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
06-07,USNM,960.21,962.55,93749764.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
06-08,USNM,969.01,971.59,124432325.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
06-09,USNM,971.1,971.65,106202407.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
06-10,USNM,967.81,961.87,118058957.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
06-13,USNM,962.73,953.57,106803884.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
06-14,USNM,953.65,947.86,87854371.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
06-15,USNM,949.07,953.89,92050553.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
06-16,USNM,951.11,945.15,128887666.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
06-17,USNM,949.04,946.87,153211925.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
06-20,USNM,951.51,954.09,97867519.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
06-21,USNM,952.23,950.67,88821302.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
06-22,USNM,950.56,947.86,76426311.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
06-23,USNM,952.17,953.72,77838319.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
06-24,USNM,937.94,941.5,278311681.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
06-27,USNM,936.67,924.7,115158007.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
06-28,USNM,933.93,940.36,91070462.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
