TICKER,PER,DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOL,OPENINT
^_USNS,D,2016-02-16,000000,793.41,797.86,793.41,797.86,4311608034,0
^_USNS,D,2017-01-03,000000,978.86,980.93,978.86,980.93,3740590217,0
^_USNS,D,2018-01-02,000000,1038.49,1045.67,1038.49,1045.45,3035919552,0
^_USNS,D,2019-01-02,000000,840.27,848.77,832.39,848.33,3329216145,0
^_USNS,D,2020-01-02,000000,936.68,940.43,936.07,939.27,3058951264,0
^_USNS,D,2021-01-04,000000,956.44,962.27,944.96,948.99,4134772204,0
^_USNS,D,2022-01-03,000000,988.79,995.9,988.79,994.84,3061878301,0
^_USNS,D,2023-01-03,000000,626.44,633.39,624.95,628.25,3269804357,0
^_USNS,D,2024-01-02,000000,630.72,631.45,627.14,628.47,3095411408,0
^_USNS,D,2025-01-02,000000,642.38,647.99,642.38,644.81,2878843309,0
