TICKER,PER,FIRST_DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOL,OPENINT,SOURCE_FILE
^_DE,D,2016-02-16,000000,910.87,910.87,906.85,906.85,142662740,0,^_de.txt
^_DE,D,2017-01-02,000000,939.06,952.85,939.06,952.85,72086672,0,^_de.txt
^_DE,D,2018-01-02,000000,1128.66,1131.11,1128.66,1131.11,147237982,0,^_de.txt
^_DE,D,2019-01-02,000000,829.28,835.57,829.28,835.57,129041547,0,^_de.txt
^_DE,D,2020-01-02,000000,932.1,944.56,932.1,944.56,138294977,0,^_de.txt
^_DE,D,2021-01-04,000000,892.34,892.34,888.02,888.02,257253323,0,^_de.txt
^_DE,D,2022-01-03,000000,1042.34,1043.37,1042.34,1043.37,208542366,0,^_de.txt
^_DE,D,2023-01-02,000000,809.03,812.72,809.03,812.72,100860081,0,^_de.txt
^_DE,D,2024-01-03,000000,857.17,857.17,851.95,851.95,173369744,0,^_de.txt
^_DE,D,2025-01-02,000000,914.69,920.53,914.69,920.53,168018554.41322,0,^_de.txt
^_HK,D,2016-02-16,000000,895.34,903.42,895.34,903.42,11675723556,0,^_hk.txt
^_HK,D,2017-01-03,000000,966.1,966.89,966.1,966.89,8761020546,0,^_hk.txt
^_HK,D,2018-01-02,000000,1001.37,1007.83,1001.37,1007.83,15170373097,0,^_hk.txt
^_HK,D,2019-01-02,000000,621.63,621.63,616.53,616.53,8124328039,0,^_hk.txt
^_HK,D,2020-01-02,000000,547.71,551.5,547.71,551.5,9182978206,0,^_hk.txt
^_HK,D,2021-01-04,000000,464.11,467.3,464.11,467.3,17539589324,0,^_hk.txt
^_HK,D,2022-01-03,000000,458.24,459.4,458.24,459.4,7374130606,0,^_hk.txt
^_HK,D,2023-01-03,000000,343.37,345.59,343.37,345.59,15672848280,0,^_hk.txt
^_HK,D,2024-01-02,000000,282.19,282.19,281.1,281.1,12593233422,0,^_hk.txt
^_HK,D,2025-01-02,000000,247.17,247.17,245.6,245.6,15673550969,0,^_hk.txt
^_HU,D,2016-02-16,000000,804.97,807.01,804.97,807.01,4430016,0,^_hu.txt
^_HU,D,2017-01-02,000000,965.651,969.06,965.651,969.06,1825513,0,^_hu.txt
^_HU,D,2018-01-02,000000,1992.15,2035.56,1992.15,2035.56,3332169,0,^_hu.txt
^_HU,D,2019-01-02,000000,2133.31,2159.24,2130.57,2150.48,3816133,0,^_hu.txt
^_HU,D,2020-01-02,000000,2703.47,2730.66,2703.47,2728.24,5007723,0,^_hu.txt
^_HU,D,2021-01-04,000000,2316.5,2326.82,2311.15,2316.3,4285409,0,^_hu.txt
^_HU,D,2022-01-03,000000,2951.88,2989.84,2951.54,2989.84,5260014,0,^_hu.txt
^_HU,D,2023-01-02,000000,2257.91,2260.36,2247.45,2250.36,2381816,0,^_hu.txt
^_HU,D,2024-01-02,000000,2285.14,2299.24,2270.6,2284.68,2824020,0,^_hu.txt
^_HU,D,2025-01-02,000000,2549.16,2572.97,2549.16,2572.97,3948707,0,^_hu.txt
^_JP,D,2016-02-16,000000,782.87,790.45,782.87,790.45,3246089421,0,^_jp.txt
^_JP,D,2017-01-04,000000,975.35,986.21,975.35,986.21,2737911117,0,^_jp.txt
^_JP,D,2018-01-04,000000,1273.79,1279.95,1273.79,1279.95,2050356868,0,^_jp.txt
^_JP,D,2019-01-04,000000,1045.28,1059.04,1045.28,1059.04,1732487956,0,^_jp.txt
^_JP,D,2020-01-06,000000,1219.7,1219.7,1218.34,1218.34,1428498823,0,^_jp.txt
^_JP,D,2021-01-04,000000,1228.6,1228.6,1218.59,1218.59,1500304491,0,^_jp.txt
^_JP,D,2022-01-04,000000,1230.94,1230.94,1228.75,1228.75,1414585311,0,^_jp.txt
^_JP,D,2023-01-04,000000,1141.65,1141.65,1130.57,1130.57,1576975975,0,^_jp.txt
^_JP,D,2024-01-04,000000,1234.3,1249.43,1234.3,1249.43,2117602674,0,^_jp.txt
^_JP,D,2025-01-06,000000,1201.42,1201.42,1191.84,1191.84,2466111052,0,^_jp.txt
^_PL,D,1991-04-16,000000,14.26,14.26,14.26,14.26,287,0,^_pl.txt
^_PL,D,1992-01-07,000000,12.18,12.18,12.18,12.18,70648,0,^_pl.txt
^_PL,D,1993-01-04,000000,11.14,11.14,11.14,11.14,521379,0,^_pl.txt
^_PL,D,1994-01-03,000000,169.13,169.13,169.13,169.13,4095389,0,^_pl.txt
^_PL,D,1995-01-02,000000,107.29,107.29,107.29,107.29,2417654,0,^_pl.txt
^_PL,D,1996-01-02,000000,108.38,108.38,108.38,108.38,802111,0,^_pl.txt
^_PL,D,1997-01-02,000000,189.28,189.28,189.28,189.28,2322871,0,^_pl.txt
^_PL,D,1998-01-05,000000,205.36,205.36,205.36,205.36,4885000,0,^_pl.txt
^_PL,D,1999-01-04,000000,136.55,136.55,136.55,136.55,9434224,0,^_pl.txt
^_PL,D,2000-01-03,000000,194.54,194.54,194.54,194.54,10371904,0,^_pl.txt
^_PL,D,2001-01-02,000000,194.82,194.82,194.82,194.82,5751201,0,^_pl.txt
^_PL,D,2002-01-02,000000,147.06,147.06,147.06,147.06,5884981,0,^_pl.txt
