TICKER,PER,DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOL,OPENINT
^_UK,D,2016-02-16,000000,882.22,882.22,879.59,879.59,3825407382,0
^_UK,D,2017-01-03,000000,963.67,964.23,963.67,964.23,2514789670,0
^_UK,D,2018-01-02,000000,1013.77,1014.12,1013.77,1014.12,1766365973,0
^_UK,D,2019-01-02,000000,900.03,904.22,900.03,904.22,2379036818,0
^_UK,D,2020-01-02,000000,898.46,901.53,898.46,901.53,3729992844,0
^_UK,D,2021-01-04,000000,893.17,897.44,893.17,897.44,8655856342,0
^_UK,D,2022-01-04,000000,965.11,972.18,965.11,972.18,4650213186,0
^_UK,D,2023-01-02,000000,698.58,698.63,698.58,698.63,5599173,0
^_UK,D,2024-01-02,000000,596.84,597.23,596.84,597.23,4476978084,0
^_UK,D,2025-01-02,000000,520.7,523.01,520.7,523.01,4779103724.44,0
