TICKER,PER,DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOL,OPENINT
^_US,D,2016-02-16,000000,822.88,828.62,822.88,828.62,6101635432,0
^_US,D,2017-01-03,000000,979.32,980.74,979.32,980.74,5560460521,0
^_US,D,2018-01-02,000000,1019.39,1029.66,1019.39,1029.02,4716956236,0
^_US,D,2019-01-02,000000,785.84,798.27,779.32,798.26,5036910093,0
^_US,D,2020-01-02,000000,838.14,842.43,838.14,842.43,5348024674,0
^_US,D,2021-01-04,000000,959.18,967.09,948.1,953.2,9855271396,0
^_US,D,2022-01-03,000000,879.26,889.19,879.26,889.17,6407304524,0
^_US,D,2023-01-03,000000,444.83,450.45,444.83,448.23,6836792651,0
^_US,D,2024-01-02,000000,385.94,387.81,385.14,385.92,7282408779,0
^_US,D,2025-01-02,000000,330.37,334.2,330.37,332.23,9573447068,0
