TICKER,PER,DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOL,OPENINT
^_PLWS,D,2016-02-16,000000,858.39,858.39,858.08,858.08,45547022,0
^_PLWS,D,2017-01-02,000000,941.53,944.42,941.53,944.42,21457853,0
^_PLWS,D,2018-01-03,000000,858.47,864.6,858.47,864.59,39388901,0
^_PLWS,D,2019-01-02,000000,608.7,614.66,608.7,614.66,32433229,0
^_PLWS,D,2020-01-02,000000,589.33,598.88,589.33,598.88,37875806,0
^_PLWS,D,2021-01-04,000000,694.89,711.37,694.89,711.37,87003607,0
^_PLWS,D,2022-01-03,000000,828.23,844.45,828.23,844.45,43120621,0
^_PLWS,D,2023-01-02,000000,689.59,696.13,689.45,696.13,28780713,0
^_PLWS,D,2024-01-02,000000,805.94,811.15,805.94,808.5,46989873,0
^_PLWS,D,2025-01-02,000000,707.05,718.43,706.94,718.43,36869316,0
