TICKER,PER,DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOL,OPENINT
^_USNM,D,2016-02-16,000000,833.46,835.37,833.46,835.37,69634617,0
^_USNM,D,2017-01-03,000000,958.42,962.5,958.42,962.5,141760921,0
^_USNM,D,2018-01-02,000000,887.49,899.43,887.49,896.02,145113133,0
^_USNM,D,2019-01-02,000000,621.82,641.05,621.64,641.05,76204377,0
^_USNM,D,2020-01-02,000000,657.28,665.08,657.28,665.07,107239767,0
^_USNM,D,2021-01-04,000000,749.08,752.18,742.18,751.7,706199939,0
^_USNM,D,2022-01-03,000000,712.17,728.12,712.17,728.12,198656007,0
^_USNM,D,2023-01-03,000000,405.1,414.16,405.1,410.64,107652165,0
^_USNM,D,2024-01-02,000000,292.31,294.73,292.31,293.85,204103892,0
^_USNM,D,2025-01-02,000000,275.79,286.47,275.79,281.9,329695768,0
