TICKER,PER,DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOL,OPENINT
^_HU,D,2016-02-16,000000,804.97,807.01,804.97,807.01,4430016,0
^_HU,D,2017-01-02,000000,965.651,969.06,965.651,969.06,1825513,0
^_HU,D,2018-01-02,000000,1992.15,2035.56,1992.15,2035.56,3332169,0
^_HU,D,2019-01-02,000000,2133.31,2159.24,2130.57,2150.48,3816133,0
^_HU,D,2020-01-02,000000,2703.47,2730.66,2703.47,2728.24,5007723,0
^_HU,D,2021-01-04,000000,2316.5,2326.82,2311.15,2316.3,4285409,0
^_HU,D,2022-01-03,000000,2951.88,2989.84,2951.54,2989.84,5260014,0
^_HU,D,2023-01-02,000000,2257.91,2260.36,2247.45,2250.36,2381816,0
^_HU,D,2024-01-02,000000,2285.14,2299.24,2270.6,2284.68,2824020,0
^_HU,D,2025-01-02,000000,2549.16,2572.97,2549.16,2572.97,3948707,0
