TICKER,PER,DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOL,OPENINT
^_PL,D,1991-04-16,000000,14.26,14.26,14.26,14.26,287,0
^_PL,D,1992-01-07,000000,12.18,12.18,12.18,12.18,70648,0
^_PL,D,1993-01-04,000000,11.14,11.14,11.14,11.14,521379,0
^_PL,D,1994-01-03,000000,169.13,169.13,169.13,169.13,4095389,0
^_PL,D,1995-01-02,000000,107.29,107.29,107.29,107.29,2417654,0
^_PL,D,1996-01-02,000000,108.38,108.38,108.38,108.38,802111,0
^_PL,D,1997-01-02,000000,189.28,189.28,189.28,189.28,2322871,0
^_PL,D,1998-01-05,000000,205.36,205.36,205.36,205.36,4885000,0
^_PL,D,1999-01-04,000000,136.55,136.55,136.55,136.55,9434224,0
^_PL,D,2000-01-03,000000,194.54,194.54,194.54,194.54,10371904,0
^_PL,D,2001-01-02,000000,194.82,194.82,194.82,194.82,5751201,0
^_PL,D,2002-01-02,000000,147.06,147.06,147.06,147.06,5884981,0
^_PL,D,2003-01-02,000000,126.77,126.77,126.77,126.77,5315883,0
^_PL,D,2004-01-02,000000,237.21,237.21,237.21,237.21,5730220,0
^_PL,D,2005-01-03,000000,391.25,391.25,391.25,391.25,12574854,0
^_PL,D,2006-01-02,000000,539.53,539.53,539.53,539.53,29977876,0
^_PL,D,2007-01-02,000000,1249.77,1249.77,1249.77,1249.77,40739076,0
^_PL,D,2008-01-02,000000,1475.44,1492.16,1475.44,1492.16,81530112,0
^_PL,D,2009-01-05,000000,725.76,735.72,725.76,735.72,75698520,0
^_PL,D,2010-01-04,000000,1185.03,1204.33,1185.03,1204.33,73052416,0
^_PL,D,2011-01-03,000000,1418.81,1419.16,1418.81,1419.16,70247072,0
^_PL,D,2012-01-02,000000,735.41,742.1,735.41,742.1,122418719,0
^_PL,D,2013-01-02,000000,584.6,589.06,584.6,589.06,98752381,0
^_PL,D,2014-01-02,000000,750.1,755.19,750.1,755.19,77311540,0
^_PL,D,2015-01-02,000000,768.86,776.35,768.86,776.35,35227461,0
^_PL,D,2016-01-04,000000,901.67,902.09,901.67,902.09,39041921,0
^_PL,D,2017-01-02,000000,928.89,929.74,928.89,929.74,34456532,0
^_PL,D,2018-01-03,000000,818.99,825.02,818.99,825.01,57640727,0
^_PL,D,2019-01-02,000000,575.96,580.94,575.96,580.94,38292091,0
^_PL,D,2020-01-02,000000,574.52,581.46,574.52,581.46,43544157,0
^_PL,D,2021-01-04,000000,788.04,805.52,788.04,805.52,115272476,0
^_PL,D,2022-01-03,000000,850.02,872.56,850.02,872.56,54643189,0
^_PL,D,2023-01-02,000000,681.8,690.6,681.8,690.3,43088492,0
^_PL,D,2024-01-02,000000,704.51,709.66,704.51,708.89,55309590,0
^_PL,D,2025-01-02,000000,584.09,593.46,584.09,593.44,42955606,0
